objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
9549,MTS,"20178178",MTSN 12 JAKARTA BARAT,Jl. Harun Raya No. 35 Sukabumi Utara Kebon Jeruk Jakarta Barat,-6.204400000000000,106.774799999999999,,"238"
9563,MTS,"20178188",MTSN 35 JAKARTA BARAT,Jl.melati Putih No. 45,-6.201600000000000,106.791600000000003,,"215"
9663,MTS,"20178153",MTSN 8 CENGKARENG,Jl. Seruni Komp. Btn Kresek Indah Rt. 007/012,-6.177300000000000,106.705699999999993,,"161"
9668,MTS,"20178169",MTSN 40 JAKARTA,"Jl. H. Asenih, Pintu Air Semanan",-6.175400000000000,106.702100000000002,,"123"
9743,MTS,"20178154",MTSN 11 JAKARTA BARAT,Jl. Komp. Depag Kalimati,-6.153500000000000,106.760800000000003,,"120"
9748,MTS,"20178164",MTSN 10 GROGOL,Jl.perdana Raya No.10 Rt.001/001,-6.152700000000000,106.773300000000006,,"116"
9863,MTS,"20178155",MTSN 36 JAKARTA,Jl. Manunggal I Rt 05/11 Rawa Gabus Kapuk,-6.119100000000000,106.716200000000001,,"179"
9539,MTS,"20178141",MTSN 16 JAKARTA,Gading Raya I,-6.206300000000000,106.879999999999995,,"106"
9651,MTS,"20178144",MTSN 9 JOHAR BARU,Jl. Johar Baru Utara I No. 50,-6.181900000000000,106.858300000000000,,"147"
9735,MTS,"20178210",MTSN 39 JAKARTA,Jl. H. Amsir No. 71 Rt.012/03,-6.155500000000000,106.868600000000001,,"212"
8965,MTS,"20178228",MTSN 4 SRENGSENG SAWAH,Jl. Yonzikon 14,-6.345100000000000,106.826400000000007,,"173"
9003,MTS,"20178229",MTSN AL-AZHAR ASY-SYARIF,Jl. M. Kahfi Ii No.6 A,-6.332013000000000,106.834163000000004,,"101"
9007,MTS,"20178227",MTSN 2 CIGANJUR,Jl. R. Moch. Kahfi I Rt 007/01 No.34,-6.331700000000000,106.806399999999996,,"102"
9026,MTS,"20178140",MTSN 33 JAKARTA,Jl.pertengahan No.3A Pasar Rebo Cijantung Jakarta Timur,-6.327220000000000,106.863192999999995,,"218"
9197,MTS,"20178125",MTSN 6 JAKARTA,Jl. Inerbang Rt.010/03,-6.282900000000000,106.861099999999993,,"110"
